ConditionName,Outcome,CountryName,Admin1ISO,Date,SourceName,CountValue
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-26,"United States Centers for Disease Control and Prevention, COVID-19 Response",62.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-27,"United States Centers for Disease Control and Prevention, COVID-19 Response",57.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-28,"United States Centers for Disease Control and Prevention, COVID-19 Response",189.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-29,"United States Centers for Disease Control and Prevention, COVID-19 Response",148.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-04-30,"United States Centers for Disease Control and Prevention, COVID-19 Response",98.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-01,"United States Centers for Disease Control and Prevention, COVID-19 Response",110.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-02,"United States Centers for Disease Control and Prevention, COVID-19 Response",116.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-03,"United States Centers for Disease Control and Prevention, COVID-19 Response",41.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-04,"United States Centers for Disease Control and Prevention, COVID-19 Response",35.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-05,"United States Centers for Disease Control and Prevention, COVID-19 Response",123.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-06,"United States Centers for Disease Control and Prevention, COVID-19 Response",94.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-07,"United States Centers for Disease Control and Prevention, COVID-19 Response",72.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-08,"United States Centers for Disease Control and Prevention, COVID-19 Response",153.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-09,"United States Centers for Disease Control and Prevention, COVID-19 Response",112.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-10,"United States Centers for Disease Control and Prevention, COVID-19 Response",55.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-11,"United States Centers for Disease Control and Prevention, COVID-19 Response",36.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-12,"United States Centers for Disease Control and Prevention, COVID-19 Response",124.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-13,"United States Centers for Disease Control and Prevention, COVID-19 Response",293.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-14,"United States Centers for Disease Control and Prevention, COVID-19 Response",111.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-15,"United States Centers for Disease Control and Prevention, COVID-19 Response",98.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-16,"United States Centers for Disease Control and Prevention, COVID-19 Response",106.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-17,"United States Centers for Disease Control and Prevention, COVID-19 Response",60.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-18,"United States Centers for Disease Control and Prevention, COVID-19 Response",31.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-19,"United States Centers for Disease Control and Prevention, COVID-19 Response",105.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-20,"United States Centers for Disease Control and Prevention, COVID-19 Response",110.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-OK,2020-05-21,"United States Centers for Disease Control and Prevention, COVID-19 Response",86.0
