ConditionName,Outcome,CountryName,Date,SourceName,CountValue
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-12,World Health Organization COVID-19 Dashboard,43697.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-13,World Health Organization COVID-19 Dashboard,58822.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-14,World Health Organization COVID-19 Dashboard,54706.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-15,World Health Organization COVID-19 Dashboard,51700.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-16,World Health Organization COVID-19 Dashboard,55933.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-17,World Health Organization COVID-19 Dashboard,51259.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-18,World Health Organization COVID-19 Dashboard,41300.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-19,World Health Organization COVID-19 Dashboard,41758.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-20,World Health Organization COVID-19 Dashboard,41504.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-21,World Health Organization COVID-19 Dashboard,46623.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-22,World Health Organization COVID-19 Dashboard,46311.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-23,World Health Organization COVID-19 Dashboard,47574.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-24,World Health Organization COVID-19 Dashboard,41312.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-25,World Health Organization COVID-19 Dashboard,36887.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-26,World Health Organization COVID-19 Dashboard,36099.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-27,World Health Organization COVID-19 Dashboard,40324.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-28,World Health Organization COVID-19 Dashboard,46725.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-29,World Health Organization COVID-19 Dashboard,46760.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-30,World Health Organization COVID-19 Dashboard,46785.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-08-31,World Health Organization COVID-19 Dashboard,40705.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-09-01,World Health Organization COVID-19 Dashboard,36599.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-09-02,World Health Organization COVID-19 Dashboard,38805.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-09-03,World Health Organization COVID-19 Dashboard,38940.0
